claim_id,customer_id,policy_type,claim_type,claim_date,claim_amount,deductible,payout_amount,claim_status,processing_days,adjuster_id,province,claim_frequency_90d,amount_vs_avg_ratio,weekend_filing,late_reporting_days,documentation_score,witness_present,police_report_filed,previous_claims_count,policy_age_days
CLM0000001,CUS001840,Auto,Collision,2024-12-14,5073.02,750,4323.02,Approved,48,ADJ019,MB,0,1.1954811052931578,0,4,86,0,0,2,55
CLM0000002,CUS001498,Home,Water Damage,2024-07-06,14638.03,2000,12638.03,Approved,7,ADJ043,QC,2,0.8054996020509548,0,1,78,1,1,0,1678
CLM0000003,CUS004019,Auto,Liability,2024-09-09,14563.21,1000,13563.21,Approved,34,ADJ034,ON,1,1.2280824828671966,0,3,84,1,1,1,4886
CLM0000004,CUS002454,Home,Water Damage,2024-01-10,2279.44,500,1779.44,Approved,13,ADJ018,ON,1,0.749009239755756,1,1,77,1,0,1,1918
CLM0000005,CUS003652,Home,Water Damage,2024-05-31,6169.47,1500,4669.47,Under Review,7,ADJ028,ON,0,0.905369795667785,0,0,76,1,0,3,619
CLM0000006,CUS003667,Auto,Theft,2024-12-28,8846.66,750,8096.66,Approved,4,ADJ044,ON,0,0.9020738846622949,0,0,96,1,0,1,3514
CLM0000007,CUS001074,Auto,Liability,2025-05-24,9691.25,1000,8691.25,Approved,53,ADJ022,AB,0,1.2643053882997592,0,3,77,0,1,0,4107
CLM0000008,CUS000597,Auto,Vandalism,2025-03-30,903.18,750,153.18,Approved,24,ADJ005,ON,0,1.264192662353192,0,3,80,0,1,2,4648
CLM0000009,CUS003354,Home,Vandalism,2024-02-26,3030.91,1000,2030.91,Closed,23,ADJ042,SK,0,1.043047883829116,0,3,76,1,1,0,3794
CLM0000010,CUS004708,Home,Water Damage,2024-12-19,4650.93,2000,2650.93,Denied,36,ADJ034,AB,0,1.2695404373507657,1,0,79,1,0,1,192
CLM0000011,CUS000803,Home,Vandalism,2024-03-22,2586.76,2000,586.76,Approved,20,ADJ006,QC,0,0.7729550736394719,0,3,86,1,1,2,2926
CLM0000012,CUS001967,Auto,Comprehensive,2025-12-31,1327.17,500,827.17,Denied,7,ADJ021,BC,1,1.0412578983070793,0,4,99,1,1,1,3118
CLM0000013,CUS000045,Home,Weather,2025-12-19,10729.11,2000,8729.11,Approved,7,ADJ014,BC,0,1.034245497750573,0,4,96,1,1,1,5042
CLM0000014,CUS003583,Home,Liability,2025-03-30,1780.02,2000,0.0,Denied,9,ADJ048,QC,0,0.7825767997397219,0,0,82,0,1,0,3221
CLM0000015,CUS002688,Auto,Collision,2025-01-08,3187.58,1000,2187.58,Closed,33,ADJ009,QC,0,1.295138928717439,0,4,98,0,0,1,4297
CLM0000016,CUS004749,Auto,Liability,2024-01-26,1905.44,750,1155.44,Approved,26,ADJ015,ON,1,1.1862091269026163,1,0,86,1,1,1,4123
CLM0000017,CUS004183,Home,Water Damage,2025-08-25,6484.17,2000,4484.17,Approved,4,ADJ012,SK,0,0.8867280230822107,1,0,82,0,1,0,1963
CLM0000018,CUS004707,Auto,Collision,2024-12-16,3789.48,500,3289.48,Under Review,11,ADJ020,QC,0,0.9570799267362313,1,3,94,0,0,0,4202
CLM0000019,CUS001749,Home,Vandalism,2025-07-25,626.67,2000,0.0,Approved,20,ADJ022,SK,0,1.0555596632138915,0,1,81,1,1,0,4119
CLM0000020,CUS003922,Auto,Comprehensive,2025-09-04,1155.66,1000,155.66,Approved,10,ADJ027,SK,0,1.0960328446474463,1,4,87,1,1,1,355
CLM0000021,CUS001890,Home,Vandalism,2026-01-02,942.84,1000,0.0,Closed,4,ADJ005,ON,2,1.2513791861095935,0,1,84,1,0,1,3264
CLM0000022,CUS003146,Auto,Collision,2024-12-18,3743.87,1000,2743.87,Closed,27,ADJ044,ON,2,0.8497906246796739,1,1,80,0,1,0,2000
CLM0000023,CUS004221,Home,Fire,2024-06-06,96159.31,1500,94659.31,Approved,6,ADJ010,QC,0,1.0095602024572963,0,1,88,0,0,1,2253
CLM0000024,CUS000392,Auto,Liability,2024-08-01,10477.89,750,9727.89,Approved,15,ADJ036,ON,1,0.7912094546164954,1,2,79,1,0,2,1759
CLM0000025,CUS000749,Auto,Collision,2025-12-10,1277.04,1000,277.04,Approved,8,ADJ038,NS,1,1.02205242170539,1,4,76,1,0,1,3777
CLM0000026,CUS004197,Auto,Collision,2024-12-09,2845.45,750,2095.45,Denied,7,ADJ008,NS,0,0.8275671643883835,0,4,75,1,1,0,2518
CLM0000027,CUS002170,Home,Water Damage,2024-01-20,24443.98,2000,22443.98,Approved,44,ADJ008,ON,0,1.056590986688341,1,1,83,1,0,0,-561
CLM0000028,CUS000602,Auto,Comprehensive,2025-05-26,3945.23,1000,2945.23,Denied,30,ADJ046,AB,3,1.3354324903873478,0,14,74,0,0,3,1236
CLM0000029,CUS002498,Home,Water Damage,2025-07-02,1777.07,1000,777.07,Closed,4,ADJ042,ON,2,0.9395317247369979,0,2,75,1,0,0,3585
