claim_id,anomaly_score,ml_fraud_probability,risk_score,risk_category,flagged_for_review,requires_investigation
CLM0000001,38.049039772546635,0.0,15.2,Low,False,False
CLM0000002,23.988916663606265,0.0,9.6,Low,False,False
CLM0000003,10.422379438532591,0.0,4.2,Low,False,False
CLM0000004,20.091333969904124,0.0,8.0,Low,False,False
CLM0000005,22.594206088349765,0.0,9.0,Low,False,False
CLM0000006,13.15232765033536,0.0,5.3,Low,False,False
CLM0000007,19.140423873026858,0.0,7.7,Low,False,False
CLM0000008,14.195709179839966,0.0,5.7,Low,False,False
CLM0000009,19.30683968369893,0.0,7.7,Low,False,False
CLM0000010,35.584049497213854,0.0,14.2,Low,False,False
CLM0000011,12.296187061409825,0.0,4.9,Low,False,False
CLM0000012,9.39603797871058,0.0,3.8,Low,False,False
CLM0000013,23.206992426387217,0.0,9.3,Low,False,False
CLM0000014,20.106041922149988,0.0,8.0,Low,False,False
CLM0000015,23.352692808810215,0.0,9.3,Low,False,False
CLM0000016,13.462184531284738,0.0,5.4,Low,False,False
CLM0000017,33.6095122780096,0.0,13.4,Low,False,False
CLM0000018,18.628996177782653,0.0,7.5,Low,False,False
CLM0000019,17.825372839142073,0.0,7.1,Low,False,False
CLM0000020,17.652814659957873,0.0,7.1,Low,False,False
CLM0000021,25.121040238506787,0.0,10.0,Low,False,False
CLM0000022,19.856834589287264,0.0,7.9,Low,False,False
CLM0000023,53.55264471561048,0.0,21.4,Low,False,False
CLM0000024,15.613939713654146,0.0,6.2,Low,False,False
CLM0000025,15.320519482782712,0.0,6.1,Low,False,False
CLM0000026,8.876238115730528,0.0,3.6,Low,False,False
CLM0000027,58.595071252958995,0.0,23.4,Low,False,False
CLM0000028,50.500977206455346,99.95493055555555,80.2,Critical,True,False
CLM0000029,26.741439741017636,0.0,10.7,Low,False,False
CLM0000030,20.46547456299811,0.0,8.2,Low,False,False
CLM0000031,31.2253716926292,0.0,12.5,Low,False,False
CLM0000032,26.43179796965104,0.0,10.6,Low,False,False
CLM0000033,67.47247113281429,100.0,87.0,Critical,True,True
CLM0000034,51.79115713415236,1.8328610440943238,21.8,Low,False,False
CLM0000035,15.999463382095458,0.0,6.4,Low,False,False
CLM0000036,15.570828313152896,0.0,6.2,Low,False,False
CLM0000037,14.611375009458694,0.0,5.8,Low,False,False
CLM0000038,34.08500503202486,0.0,13.6,Low,False,False
CLM0000039,25.505072543692897,0.0,10.2,Low,False,False
CLM0000040,22.13423552089492,0.0,8.9,Low,False,False
CLM0000041,12.097732697205343,0.0,4.8,Low,False,False
CLM0000042,14.480720076777054,0.0,5.8,Low,False,False
CLM0000043,26.729998593552885,0.0,10.7,Low,False,False
CLM0000044,30.75674785295982,0.0,12.3,Low,False,False
CLM0000045,32.09034569530752,0.0,12.8,Low,False,False
CLM0000046,13.096745292772038,0.0,5.2,Low,False,False
CLM0000047,18.714250522230813,0.0,7.5,Low,False,False
CLM0000048,17.129512317156347,0.0,6.9,Low,False,False
CLM0000049,23.29342691952817,0.0,9.3,Low,False,False
CLM0000050,9.477825173991638,0.0,3.8,Low,False,False
CLM0000051,13.319845831726829,0.0,5.3,Low,False,False
CLM0000052,29.15290140474217,0.0,11.7,Low,False,False
CLM0000053,17.63750626181175,0.0,7.1,Low,False,False
CLM0000054,11.490399403310036,0.0,4.6,Low,False,False
CLM0000055,35.88329347089042,0.0,14.4,Low,False,False
CLM0000056,36.09059520141904,0.0,14.4,Low,False,False
CLM0000057,46.41092344235705,99.97029365270063,78.5,Critical,True,False
CLM0000058,7.614981322127202,0.0,3.0,Low,False,False
CLM0000059,15.687811277439877,0.0,6.3,Low,False,False
CLM0000060,13.844741262500005,0.0,5.5,Low,False,False
CLM0000061,64.63131751322177,100.0,85.9,Critical,True,True
CLM0000062,22.54801088373104,0.0,9.0,Low,False,False
